timestamp,title,price,original_price,shipping_details,item_url
2025-03-21 12:08:27,5 oz Scottsdale Silver CAST Bullion Bar .999+ Silver Bar #A398,US $192.96,N/A,N/A,https://www.ebay.com/itm/314864753670?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000021167
2025-03-21 12:08:27,100 Gram Cast Silver Bar by Scottsdale Mint .999 Silver Bullion - 100g #A130,US $128.89,N/A,N/A,https://www.ebay.com/itm/311531829282?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000021167
2025-03-21 12:08:27,10box set Pokemon card Terastal Festival ex Booster box sv8a Japanese,"US $1,129.00",N/A,N/A,https://www.ebay.com/itm/395971808128?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000021167
2025-03-21 12:08:27,One Piece OP09 Emperors in the New World Booster Box Display Sealed Card English,US $151.85,N/A,N/A,https://www.ebay.com/itm/166765686458?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000021167
2025-03-21 12:08:28,Kirkland Hair Regrowth Treatment 5% Minoxidil Foam for Men - 6 Months Supply,US $65.95,N/A,N/A,https://www.ebay.com/itm/164108535397?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015153
2025-03-21 12:08:28,Levis 501 Original Fit Jeans Straight Leg Button Fly 100% Cotton Blue Black,US $42.80,N/A,N/A,https://www.ebay.com/itm/375403861014?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015153
2025-03-21 12:08:28,Cartier Mens Square/Rectangle Silver Silver Transparent Fashion Designer Eyewear,US $249.99,"US $1,095.00",N/A,https://www.ebay.com/itm/356382768943?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015153
2025-03-21 12:08:28,Centrum Silver Adults 50+ 325 Tablets Multivitamin Supplement EXP 06/2026,US $34.89,N/A,N/A,https://www.ebay.com/itm/124651088700?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015153
2025-03-21 12:08:28,Apple iPhone 13 Pro 128GB Unlocked - Excellent,US $357.95,N/A,N/A,https://www.ebay.com/itm/403999454004?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015152
2025-03-21 12:08:28,Apple iPhone 14 Pro 128GB Unlocked - Excellent,US $446.95,N/A,N/A,https://www.ebay.com/itm/405469724990?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015152
